Name,Level,Address,ZIPCode,Enroll,EnrollAsia,EnrollHisp,EnrollBlac,EnrollWhit,EnrollOthe,Latitude,Longitude
SPRING HILL,Primary,1351 DAMAS ST,15212,263,1,3,93,138,28,40.465457,-79.989744
STERRETT CLASSICAL ACADEMY,Middle,7100 REYNOLDS ST,15208,379,10,0,233,115,21,40.447235,-79.905613
STEVENS THADDEUS,Primary,822 CRUCIBLE ST,15220,335,1,1,240,74,19,40.442383,-80.040377
STUDENT ACHIEVEMENT CTR,High,925 BRUSHTON AVE,15208,205,1,0,187,14,3,40.456123,-79.887932
SUNNYSIDE,Primary,4801 STANTON AVE,15201,364,5,0,290,45,24,40.480508,-79.934394
URBAN LEAGUE OF PITTSBURGH,Primary,327 NORTH NEGLEY AVE,15206,228,0,0,228,0,0,40.466064,-79.929403
WEIL A LEO TECHNOLOGY INST,Primary,2250 CENTRE AVE,15219,319,1,1,312,0,5,40.445177,-79.974460
WEST LIBERTY,Primary,785 DUNSTER ST,15226,278,5,5,31,211,26,40.402309,-80.009933
WESTINGHOUSE,High,1101 NORTH MURTLAND AVE,15208,336,2,0,329,0,5,40.460396,-79.900455
WESTWOOD,Primary,508 SHADYHILL RD,15205,336,5,4,155,145,27,40.432139,-80.049410
WHITTIER,Primary,150 MERIDAN ST,15211,268,1,3,98,127,39,40.436265,-80.018332
WOOLSLAIR,Primary,501 40TH ST,15224,221,17,2,134,59,9,40.463221,-79.957367
