FID,BLOCKID10,HOUSING10,POP10,X,Y
"1,773",420031005001000,110,235,"1,361,063.708300000100000","424,275.263974000000000"
"1,774",420031011002016,0,0,"1,358,194.151270000000000","427,711.956607999980000"
"1,775",420035619002027,1,1,"1,371,589.985760000100000","419,823.779128000020000"
"1,776",420031115003011,0,0,"1,363,403.988850000100000","418,750.290301000000000"
"1,777",420030203001016,0,0,"1,349,454.349140000100000","418,054.880393000030000"
"1,778",420030501002018,3,4,"1,349,727.885410000100000","413,940.547536999980000"
"1,779",420031011003013,9,15,"1,357,003.729800000100000","425,173.009320000010000"
"1,780",420030603002040,91,161,"1,352,270.997490000000000","419,250.348492000020000"
"1,781",420035623003010,0,0,"1,361,450.798440000000000","401,781.185711000000000"
"1,782",420035623003022,0,0,"1,361,107.738010000000000","401,765.471028000000000"
"1,783",420035623003005,0,0,"1,362,574.873600000000000","400,877.750139000010000"
"1,784",420035623003030,0,0,"1,362,140.603240000100000","400,383.084615000000000"
"1,785",420035620002001,7,11,"1,355,175.677459999900000","416,891.867275000030000"
"1,786",420031306001019,2,2,"1,375,056.808130000000000","414,183.576888000010000"
"1,787",420031306001004,80,126,"1,375,329.001140000100000","414,970.757409000010000"
"1,788",420030501003033,7,15,"1,348,124.149800000000000","412,882.161780000020000"
"1,789",420030603002008,22,43,"1,352,118.949010000100000","420,851.279059999970000"
"1,790",420030509001001,13,17,"1,351,303.301680000000000","416,284.632400000000000"
"1,791",420030506002001,0,0,"1,352,620.736010000100000","415,509.394458999970000"
"1,792",420031014003015,20,38,"1,361,880.220580000000000","423,063.306532000020000"
"1,793",420031301003002,1,1,"1,370,545.306480000000000","419,192.568459999980000"
"1,794",420031406003026,50,83,"1,370,909.117619999900000","410,781.576928000020000"
"1,795",420031106001016,15,32,"1,366,046.069130000000000","420,569.015984000000000"
"1,796",420031516002019,0,0,"1,356,039.245150000100000","406,030.400173000000000"
"1,797",420030409002012,91,167,"1,354,840.265040000000000","407,545.665495999970000"
"1,798",420031401004003,79,59,"1,357,569.848340000000000","412,904.609423000020000"
"1,799",420031014001046,5,17,"1,362,507.115340000000000","424,408.890071999980000"
"1,800",420031414004024,0,0,"1,364,893.086110000000000","400,801.934801000000000"
"1,801",420031306003023,14,36,"1,378,411.939109999900000","414,168.462662999980000"
"1,802",420031414005012,21,59,"1,363,163.231029999900000","405,794.592846999990000"
"1,803",420031413001005,7,16,"1,362,464.299210000100000","409,261.918199000010000"
"1,804",420035629003020,18,31,"1,358,535.587830000100000","401,670.455052000000000"
"1,805",420030203001106,0,0,"1,343,928.810310000100000","414,196.477562999990000"
"1,806",420030201005021,0,0,"1,343,717.769600000000000","410,947.594742999990000"
"1,807",420030501001015,5,8,"1,350,872.192820000000000","414,431.029939999980000"
"1,808",420030402001005,0,0,"1,351,169.358259999900000","411,409.921741000030000"
"1,809",420035620001000,24,29,"1,356,453.354820000000000","415,123.817028000020000"
"1,810",420031016001021,9,10,"1,359,275.343840000000000","421,128.930876999980000"
"1,811",420030807001007,38,68,"1,361,438.308909999900000","418,877.224043000020000"
"1,812",420031115004017,0,0,"1,365,523.475619999900000","417,640.129185000030000"
"1,813",420031018002002,6,10,"1,362,316.937790000100000","428,043.158999999990000"
"1,814",420031203002013,12,21,"1,370,768.060850000000000","420,414.207226999980000"
"1,815",420031203001036,7,10,"1,369,509.399030000000000","420,796.214228999980000"
"1,816",420031106003001,11,25,"1,365,724.601860000100000","422,146.740086000010000"
"1,817",420031014004009,16,36,"1,362,074.974290000000000","425,320.190696000010000"
"1,818",420031018001000,15,32,"1,361,644.749550000100000","427,749.686127999970000"
"1,819",420031018001007,7,16,"1,361,745.511050000100000","426,887.135799999990000"
"1,820",420031014001022,4,7,"1,363,527.147470000000000","427,235.993884000000000"
"1,821",420031014001026,13,33,"1,363,604.992219999900000","426,968.679177000010000"
"1,822",420031406002010,16,40,"1,370,647.886170000100000","411,602.058794000010000"
"1,823",420031405001014,8,22,"1,370,302.251740000000000","414,996.410032999990000"
"1,824",420031303003026,9,21,"1,369,721.466999999900000","415,912.105737000010000"
"1,825",420031203002004,5,9,"1,369,507.462660000000000","420,629.023799000020000"
"1,826",420031302001012,17,32,"1,372,799.450879999900000","416,336.976544999980000"
"1,827",420030501001009,9,17,"1,351,523.392340000000000","414,195.362621999990000"
"1,828",420031115001015,127,152,"1,362,511.364000000100000","420,009.685530000020000"
"1,829",420031404003009,53,121,"1,364,587.078120000000000","413,072.603630000030000"
"1,830",420030409002005,35,77,"1,354,183.312080000100000","408,129.331917000000000"
"1,831",420031516002032,8,10,"1,356,906.424279999900000","404,919.598883000030000"
"1,832",420035623002005,0,0,"1,360,761.729330000000000","398,316.010766000020000"
"1,833",420031406002001,61,135,"1,370,645.385430000000000","412,762.024557999980000"
"1,834",420031414004011,7,20,"1,364,899.200750000100000","404,365.087974999970000"
"1,835",420032701002005,51,85,"1,330,615.419990000100000","427,710.059202999980000"
"1,836",420032701002007,10,24,"1,330,405.930819999900000","428,177.312916000020000"
"1,837",420032701001006,40,83,"1,331,122.696310000000000","428,391.324991000000000"
"1,838",420032708001002,15,30,"1,332,376.140870000000000","429,608.744876999990000"
"1,839",420032620001042,6,17,"1,344,228.490019999900000","419,419.425249000020000"
"1,840",420032406002004,4,6,"1,347,038.198450000000000","419,787.969157000010000"
"1,841",420032412001021,0,0,"1,345,846.939920000000000","418,823.063586000000000"
"1,842",420035632003002,17,21,"1,343,343.750770000000000","417,945.994352000010000"
"1,843",420035632003048,0,0,"1,343,188.941010000000000","417,082.861305999980000"
"1,844",420035632002010,0,0,"1,343,058.629260000100000","416,519.497969000020000"
"1,845",420035632003050,10,13,"1,343,376.796189999900000","416,967.141623999980000"
"1,846",420035632002043,0,0,"1,343,319.927810000000000","416,476.453087000000000"
"1,847",420035632003037,26,41,"1,343,964.518050000100000","417,318.563464000010000"
"1,848",420035632003052,25,24,"1,343,623.883369999900000","416,864.422974999990000"
"1,849",420035632002000,0,0,"1,344,265.927690000000000","416,418.440334999990000"
"1,850",420039806001024,0,0,"1,334,879.822429999900000","415,242.543607000030000"
"1,851",420032701001031,18,51,"1,331,619.303709999900000","427,958.858636000020000"
"1,852",420032701002025,17,55,"1,330,875.568870000100000","425,999.846972000030000"
"1,853",420032701001029,20,27,"1,331,302.694330000100000","426,214.758147999990000"
"1,854",420035632001026,1,1,"1,343,341.118190000100000","414,944.053678000000000"
"1,855",420035632001027,0,0,"1,343,068.550240000000000","414,594.671229999980000"
"1,856",420035632001020,0,0,"1,344,140.378379999900000","414,792.789523000010000"
"1,857",420032412002005,7,14,"1,344,693.314150000000000","418,300.043767000020000"
"1,858",420032406001012,13,26,"1,347,511.519910000000000","421,234.068756999970000"
"1,859",420035632001031,0,0,"1,342,755.281520000000000","414,474.078844000000000"
"1,860",420032614002019,0,0,"1,337,818.801830000000000","418,462.600908000020000"
"1,861",420032612001033,7,22,"1,338,715.470209999900000","432,700.672036000000000"
"1,862",420032602002023,47,96,"1,335,873.708189999900000","429,002.670739000020000"
"1,863",420035627002005,211,1,"1,340,435.612170000100000","416,030.702921000020000"
"1,864",420039812001013,0,0,"1,340,773.964570000100000","413,709.627580999980000"
"1,865",420032406001049,116,156,"1,344,976.388700000000000","416,603.378414999980000"
"1,866",420032612001029,0,0,"1,341,568.787419999900000","427,840.647949000010000"
"1,867",420039806001052,0,0,"1,335,544.075690000100000","414,779.952945000030000"
"1,868",420032708003024,5,14,"1,335,513.747120000000000","427,117.657553999980000"
"1,869",420032602002020,3,7,"1,335,317.335539999900000","430,032.527973000020000"
"1,870",420039806001004,0,0,"1,332,310.983210000000000","419,009.237298999970000"
"1,871",420032615002010,12,27,"1,338,137.062429999900000","423,159.047555000000000"
"1,872",420032615001018,0,0,"1,339,805.010060000000000","423,390.665777000020000"
"1,873",420032509002001,6,7,"1,341,844.445340000100000","420,884.755915999990000"
"1,874",420032509002007,0,0,"1,342,307.327839999900000","420,444.664063000000000"
"1,875",420032509002010,0,0,"1,342,322.814310000000000","420,246.539529000000000"
"1,876",420032620001013,2,3,"1,343,396.126450000100000","420,663.889273000010000"
"1,877",420032620001017,0,0,"1,343,446.705250000100000","420,505.779560000000000"
"1,878",420032620001021,6,15,"1,344,556.703920000000000","420,378.071098999990000"
"1,879",420032406002014,0,0,"1,344,830.808200000100000","416,827.814493999990000"
"1,880",420039812001004,0,0,"1,339,802.403290000000000","414,235.093243999990000"
"1,881",420039806001022,0,0,"1,335,838.399040000000000","414,623.730841999990000"
"1,882",420032715003001,8,17,"1,332,845.661320000000000","423,650.177576999990000"
"1,883",420032602002005,11,20,"1,335,423.134069999900000","430,587.301981000000000"
"1,884",420032602002021,4,7,"1,335,583.542609999900000","429,621.158173999980000"
"1,885",420032602002022,10,29,"1,336,054.149650000000000","429,706.786275000020000"
"1,886",420032602003011,42,82,"1,337,062.997599999900000","430,228.132095000010000"
"1,887",420032708003016,10,28,"1,333,748.136329999900000","427,641.273363000010000"
"1,888",420032703001007,11,30,"1,333,686.893190000000000","425,870.510929999990000"
"1,889",420032703001011,3,4,"1,332,927.221459999900000","424,776.388043000010000"
"1,890",420032703001014,17,25,"1,332,857.337490000100000","424,550.578627999990000"
"1,891",420032715001021,0,0,"1,334,414.036480000000000","424,641.360919000000000"
"1,892",420032715002003,16,37,"1,334,160.610020000000000","423,856.009989999990000"
"1,893",420032715002004,14,13,"1,334,351.791720000100000","423,810.235663000030000"
"1,894",420035632003041,10,18,"1,344,550.127820000100000","417,082.804988000020000"
"1,895",420032406001045,0,0,"1,345,366.798930000000000","416,315.168034999980000"
"1,896",420032412001017,6,10,"1,346,491.872509999900000","420,906.704428000030000"
"1,897",420032406001014,12,16,"1,347,814.884050000000000","421,060.403865000000000"
"1,898",420032406001030,0,0,"1,347,975.713810000100000","419,051.425044999980000"
"1,899",420032406001034,2,2,"1,349,202.186810000100000","420,187.516355999980000"
"1,900",420039812001027,0,0,"1,338,967.394390000000000","412,528.581910000010000"
"1,901",420032620002001,2,3,"1,345,091.780100000100000","421,005.905229000030000"
"1,902",420035626003040,0,0,"1,334,199.587529999900000","413,364.824247999990000"
"1,903",420039809001030,0,0,"1,332,424.642710000000000","421,111.358402999990000"
"1,904",420032715003026,26,71,"1,333,480.854880000000000","422,140.116611999980000"
"1,905",420032715002034,16,39,"1,333,548.525459999900000","421,855.928518000000000"
"1,906",420039809001033,0,0,"1,332,964.743860000000000","419,801.641677999990000"
"1,907",420032107002001,0,0,"1,334,598.538970000100000","418,850.579718000020000"
"1,908",420039806001001,0,0,"1,333,148.180480000100000","419,071.587063000010000"
"1,909",420032715002015,19,37,"1,334,323.449250000100000","422,669.067667000000000"
"1,910",420032715002016,15,25,"1,334,467.875010000100000","422,686.756003000020000"
"1,911",420032715002028,27,57,"1,335,390.403400000000000","421,903.991495999970000"
"1,912",420032704001017,17,24,"1,334,433.752750000000000","419,934.422648000010000"
"1,913",420032107002003,0,0,"1,334,960.997939999900000","418,599.036330999980000"
"1,914",420032107002009,4,9,"1,334,189.731440000000000","418,411.424531999980000"
"1,915",420039806001014,0,0,"1,334,190.134039999900000","414,860.889325000000000"
"1,916",420032107002026,22,28,"1,335,074.384320000000000","417,564.245568000010000"
"1,917",420032507001038,10,21,"1,335,932.712460000100000","418,509.824122000020000"
"1,918",420035626003037,0,0,"1,334,400.241300000100000","413,504.074998000000000"
"1,919",420032107001033,27,43,"1,334,996.811419999900000","415,610.113195999990000"
"1,920",420032107001043,26,35,"1,335,148.767049999900000","415,290.311242000030000"
"1,921",420032107001021,17,19,"1,335,411.562339999900000","416,043.078952000010000"
"1,922",420032612001013,0,0,"1,339,168.782050000000000","432,415.360907999970000"
"1,923",420032612001044,0,0,"1,339,991.399759999900000","429,592.316704000000000"
"1,924",420032602001000,0,0,"1,339,204.832350000000000","431,602.543492000030000"
"1,925",420032602002012,40,116,"1,337,797.890390000100000","428,169.100138999990000"
"1,926",420032602003015,11,31,"1,337,909.728690000000000","429,445.973409999980000"
"1,927",420032715001013,28,47,"1,336,009.287010000100000","424,168.274793000020000"
"1,928",420032607002005,38,83,"1,339,132.210359999900000","426,439.268594000020000"
"1,929",420032615002007,17,31,"1,338,723.218820000100000","423,210.537373000000000"
"1,930",420032503001009,12,15,"1,338,138.062170000000000","417,557.470968000010000"
"1,931",420032607002001,8,11,"1,339,716.076330000100000","425,513.664353000000000"
"1,932",420032412001004,1,3,"1,345,476.276929999900000","424,451.910509000010000"
"1,933",420032607002007,12,24,"1,339,834.029009999900000","425,095.269230999980000"
"1,934",420032615001020,102,104,"1,339,623.973599999900000","423,021.408048000010000"
"1,935",420032615001016,8,17,"1,340,112.066050000000000","423,224.039712000000000"
"1,936",420032609001035,1,4,"1,342,108.246809999900000","423,594.821531999970000"
"1,937",420032614001001,4,9,"1,338,333.018050000100000","421,533.121930000020000"
"1,938",420032507001011,13,45,"1,337,872.329760000100000","418,049.782619000010000"
"1,939",420032614002000,23,30,"1,339,551.115160000000000","420,178.568450000020000"
"1,940",420032503001000,19,32,"1,339,970.847499999900000","418,508.983118999980000"
"1,941",420032614002007,12,29,"1,338,837.515020000000000","419,631.596161000020000"
"1,942",420032507001023,17,47,"1,336,021.753169999900000","418,990.505707999980000"
"1,943",420032507001016,0,0,"1,337,116.856650000000000","417,743.943480000020000"
"1,944",420032507001019,7,13,"1,336,653.568160000000000","418,380.289300000000000"
"1,945",420032107002029,21,45,"1,336,580.704780000000000","417,186.485143000030000"
"1,946",420032507001056,13,21,"1,337,010.009069999900000","418,311.980490999990000"
"1,947",420032206001022,0,0,"1,337,319.919580000000000","416,633.712072000020000"
"1,948",420032107001025,5,6,"1,336,896.908820000000000","416,136.390912999980000"
"1,949",420035627001022,15,12,"1,337,491.166830000000000","415,444.337606000020000"
"1,950",420032206001033,3,6,"1,337,900.451660000000000","416,360.884405000020000"
"1,951",420032206001010,12,17,"1,338,317.211579999900000","417,112.179125999970000"
"1,952",420035627001021,8,9,"1,337,528.444260000000000","415,276.573618000020000"
"1,953",420039804001007,0,0,"1,336,913.660889999900000","426,338.453324000000000"
"1,954",420032708002011,16,36,"1,333,929.478060000100000","426,965.653378000020000"
"1,955",420039806001034,0,0,"1,334,819.092089999900000","415,175.851883000000000"
"1,956",420032620001028,0,0,"1,343,884.920140000100000","419,521.578228999980000"
"1,957",420035632001044,0,19,"1,342,741.205280000100000","414,931.358225999980000"
"1,958",420035627001001,22,43,"1,337,938.332250000000000","416,028.143542999980000"
"1,959",420035627001011,0,0,"1,338,423.204240000100000","415,552.241773999990000"
"1,960",420032615001022,10,22,"1,339,808.645390000000000","422,620.654287000010000"
"1,961",420032615001027,4,12,"1,340,251.969550000000000","422,610.873910999970000"
"1,962",420032614004010,30,39,"1,340,317.518340000000000","421,039.468150999980000"
"1,963",420032614004001,19,45,"1,341,108.090679999900000","421,401.448893999970000"
"1,964",420032509002020,1,9,"1,340,043.828599999900000","420,371.725274999980000"
"1,965",420032509002014,5,8,"1,340,755.300820000000000","420,513.615220999990000"
"1,966",420032509002031,9,17,"1,340,984.111869999900000","419,588.284522000000000"
"1,967",420032509001008,3,3,"1,340,833.224200000100000","419,096.970987999990000"
"1,968",420032509001016,5,9,"1,341,508.912990000100000","418,937.405284999990000"
"1,969",420032503001035,14,23,"1,339,401.600369999900000","417,899.288499000020000"
"1,970",420032503001022,2,4,"1,339,780.653299999900000","418,125.708680999990000"
"1,971",420032206001017,18,22,"1,339,421.370429999900000","417,155.978202999980000"
"1,972",420032206001016,41,62,"1,339,308.053409999900000","417,004.000048000020000"
"1,973",420035632002051,19,13,"1,342,372.350080000000000","415,528.068820999990000"
"1,974",420032412001006,0,0,"1,344,685.459020000000000","423,440.527881000020000"
"1,975",420032206001027,8,29,"1,340,147.997120000000000","416,820.660282999980000"
"1,976",420032206002029,34,1,"1,340,425.594749999900000","416,880.366012000010000"
"1,977",420032206002024,5,103,"1,340,698.747070000000000","416,912.770811000020000"
"1,978",420035627002017,0,0,"1,340,761.407580000100000","414,743.674493999980000"
"1,979",420035627002012,184,136,"1,340,448.551960000100000","415,509.380592999980000"
"1,980",420039812001007,0,0,"1,340,693.397870000000000","414,208.868202999990000"
"1,981",420032206002001,18,29,"1,341,076.176930000100000","417,877.641548999990000"
"1,982",420035632003027,33,31,"1,342,033.043890000100000","417,302.345122000030000"
"1,983",420035632003015,17,21,"1,342,477.606510000100000","417,533.863820999980000"
"1,984",420035632003010,0,0,"1,342,649.966390000000000","417,587.582744000010000"
"1,985",420035632003025,24,33,"1,342,307.875079999900000","417,360.489602999990000"
"1,986",420035632003063,14,15,"1,341,806.410450000100000","416,967.063789999990000"
"1,987",420035632002016,22,32,"1,341,927.068930000100000","416,426.878458000020000"
"1,988",420035632002039,16,19,"1,342,071.970239999900000","415,837.295592000010000"
"1,989",420035632001053,0,0,"1,341,600.188589999900000","414,710.308657000020000"
"1,990",420035632001057,0,0,"1,341,621.503779999900000","414,558.411549000010000"
"1,991",420035632002040,24,32,"1,342,420.082570000100000","415,913.047039000030000"
"1,992",420035632002033,0,0,"1,343,224.860200000000000","416,033.187305999980000"
"1,993",420035632001055,0,0,"1,341,343.121510000000000","414,550.930080000020000"
"1,994",420039809001011,0,0,"1,330,916.104090000000000","423,386.552657999970000"
"1,995",420032609001028,7,14,"1,342,077.991089999900000","423,342.607621999980000"
"1,996",420039818001005,0,0,"1,371,312.668550000100000","425,100.816219999980000"
"1,997",420039818001006,0,0,"1,373,897.172420000000000","423,446.335303000000000"
"1,998",420035629002037,0,0,"1,360,825.210239999900000","390,167.141133000030000"
"1,999",420035616004006,2,4,"1,349,579.251690000100000","402,149.231034000000000"
"2,000",420031915001009,0,0,"1,340,776.021149999900000","404,346.524726999980000"
"2,001",420030501002007,0,0,"1,349,758.748150000100000","414,214.574973999990000"
"2,002",420031608002003,17,40,"1,351,617.030710000100000","404,793.382459999990000"
"2,003",420039805001016,0,0,"1,357,467.948570000000000","407,294.290848999980000"
"2,004",420031807001003,0,0,"1,341,999.185630000000000","406,524.667995000030000"
"2,005",420030603002050,0,0,"1,351,127.905439999900000","419,036.505698999970000"
"2,006",420039807001032,10,13,"1,341,199.108449999900000","407,959.523579999980000"
"2,007",420030705002007,34,66,"1,361,636.764080000100000","415,480.302566999980000"
"2,008",420031401002006,58,818,"1,359,560.678940000000000","411,087.943437999990000"
"2,009",420030103002013,0,0,"1,345,757.005510000000000","410,132.103450000000000"
"2,010",420030305002020,50,91,"1,346,410.174010000000000","411,321.504697000030000"
"2,011",420030305001005,16,22,"1,347,090.282459999900000","413,000.207213999990000"
"2,012",420039801001026,0,0,"1,366,365.419900000100000","426,516.997841999980000"
"2,013",420031113002003,27,37,"1,364,069.297779999900000","421,490.456381000000000"
"2,014",420035623003012,0,0,"1,362,811.362969999900000","400,359.007824999980000"
"2,015",420039811001018,0,0,"1,368,488.324150000000000","411,534.921395000010000"
"2,016",420031414003018,0,0,"1,364,675.190879999900000","405,621.265186999980000"
"2,017",420030804002004,24,40,"1,356,328.668660000000000","416,666.007856999990000"
"2,018",420039805001015,0,0,"1,357,900.545100000000000","408,078.531212000000000"
"2,019",420030201005030,0,0,"1,343,152.206730000000000","410,417.394472000010000"
"2,020",420030201006013,0,0,"1,342,743.883470000000000","413,084.971894000020000"
"2,021",420032620001023,0,0,"1,343,591.583600000000000","420,091.507189999970000"
"2,022",420039811001026,0,0,"1,367,644.742929999900000","411,201.708172000010000"
"2,023",420039811001022,0,0,"1,367,636.527280000000000","411,487.496328999990000"
"2,024",420031403002010,0,0,"1,366,246.000670000000000","410,277.037914999990000"
"2,025",420039810001055,0,0,"1,356,293.257299999900000","422,228.983419000000000"
"2,026",420039810001010,0,0,"1,358,255.883179999900000","422,886.108993000000000"
"2,027",420039810001043,0,0,"1,355,553.154120000100000","421,681.969316000000000"
"2,028",420039810001014,0,0,"1,357,482.000999999900000","422,767.687534000030000"
"2,029",420039810001035,0,0,"1,356,453.910250000000000","423,135.109430000010000"
"2,030",420039810001006,0,0,"1,356,961.313430000100000","423,553.642193000010000"
"2,031",420031911001031,4,17,"1,336,706.968470000000000","409,197.112335000010000"
"2,032",420031919003008,10,23,"1,333,953.522810000000000","395,443.285121999970000"
"2,033",420031903001015,19,37,"1,337,531.346130000000000","409,534.728385999970000"
"2,034",420031911001019,0,0,"1,336,401.792690000000000","408,992.071165999980000"
"2,035",420039807001007,0,0,"1,338,015.898220000100000","410,710.707669000020000"
"2,036",420035631002009,5,11,"1,326,706.410050000100000","410,159.913325999980000"
"2,037",420032615002034,0,0,"1,336,115.954919999900000","421,014.302244000020000"
"2,038",420032615002029,0,0,"1,336,379.894200000000000","421,800.742398999980000"
"2,039",420032615002040,0,0,"1,336,207.044870000100000","421,472.341343000010000"
"2,040",420039809001014,0,0,"1,330,904.218630000000000","424,180.314151000000000"
"2,041",420032614001018,0,0,"1,337,460.915860000100000","419,984.907577999980000"
"2,042",420032615002028,0,0,"1,335,792.381700000000000","422,273.013885000020000"
"2,043",420031915001015,0,0,"1,338,819.593880000100000","402,905.897807999980000"
"2,044",420032507001058,0,0,"1,336,375.544220000000000","419,194.467749000000000"
"2,045",420031706003009,0,0,"1,346,895.523139999900000","403,406.082112999980000"
"2,046",420032507001006,0,0,"1,336,295.140160000000000","419,625.142173999980000"
"2,047",420032406001047,0,0,"1,344,721.294440000100000","416,046.072700000020000"
"2,048",420035628002010,0,0,"1,321,880.563900000000000","406,593.514843999990000"
"2,049",420031411001006,0,0,"1,368,227.369340000000000","405,209.494170000020000"
"2,050",420035631002040,0,0,"1,329,158.885920000000000","406,776.340014000020000"
"2,051",420035632001041,0,0,"1,341,920.704110000000000","414,459.388595000030000"
"2,052",420035632003029,1,4,"1,343,117.545960000000000","416,987.597931000000000"
"2,053",420032620003021,0,0,"1,342,598.810220000100000","419,935.294149000020000"
"2,054",420032602003000,0,0,"1,337,877.693810000100000","432,075.633827999990000"
"2,055",420032602003003,0,0,"1,337,563.973980000000000","432,007.103485999980000"
"2,056",420035628001002,10,31,"1,319,830.097890000100000","405,336.608054000010000"
"2,057",420035624002027,7,12,"1,340,311.320349999900000","401,990.737683999990000"
"2,058",420039809001049,0,0,"1,333,751.911260000000000","419,234.333484000000000"
"2,059",420031208002000,14,6,"1,368,525.989899999900000","418,444.008573999980000"
"2,060",420032701002009,15,37,"1,329,847.906810000100000","426,898.853004999980000"
"2,061",420032701002010,3,14,"1,329,516.785179999900000","427,072.289705000000000"
"2,062",420032620001000,0,0,"1,346,158.637350000000000","420,572.979693999980000"
"2,063",420032602002011,2,1,"1,336,941.940920000000000","429,510.983659000020000"
"2,064",420030201002001,0,0,"1,340,986.483370000000000","412,846.736441000020000"
"2,065",420030509001007,0,0,"1,350,304.730320000100000","415,807.738254000030000"
"2,066",420031302001014,21,36,"1,373,231.860900000000000","416,353.156866999980000"
"2,067",420035619002020,1,0,"1,373,663.664240000100000","422,044.237053000020000"
"2,068",420030103001016,0,0,"1,349,746.193030000000000","409,443.253384999990000"
"2,069",420031915002001,24,35,"1,340,670.973520000000000","405,975.662226999990000"
"2,070",420032509001007,21,33,"1,341,112.246800000100000","418,895.966414000020000"
"2,071",420031414005003,2,2,"1,362,714.309440000000000","406,237.654148000000000"
"2,072",420031203002022,9,22,"1,369,738.303770000100000","419,437.803581000010000"
"2,073",420030902002018,9,20,"1,354,910.879870000100000","420,841.434696000010000"
"2,074",420030201005022,0,0,"1,343,467.456320000100000","411,039.111633999970000"
"2,075",420031918005002,8,21,"1,337,108.913260000100000","392,195.919744000010000"
"2,076",420035628001032,9,20,"1,321,421.507100000000000","403,003.814071999980000"
"2,077",420035631003008,4,10,"1,332,483.696670000000000","405,233.740207000000000"
"2,078",420031915001013,0,0,"1,339,066.352389999900000","403,302.408269000010000"
"2,079",420030103002004,0,0,"1,344,062.915869999900000","410,614.553329000020000"
"2,080",420035627002016,0,0,"1,341,503.154159999900000","415,777.212110999970000"
"2,081",420035623004014,1,2,"1,357,781.481850000100000","397,739.278599000010000"
"2,082",420039810001056,0,0,"1,356,632.388550000000000","422,259.153964000000000"
"2,083",420032620001049,0,0,"1,342,716.890530000000000","417,888.308622999990000"
"2,084",420039807001002,0,0,"1,336,598.085400000000000","412,034.420325000010000"
"2,085",420039807001010,0,0,"1,338,697.175229999900000","410,494.536889999990000"
"2,086",420035632001039,0,0,"1,344,107.048329999900000","414,767.662420000010000"
"2,087",420030201004002,0,0,"1,344,575.519810000000000","411,442.703442000030000"
"2,088",420039808001023,0,0,"1,354,556.541170000100000","406,517.339679999980000"
"2,089",420039808001001,0,0,"1,351,092.064999999900000","409,283.279144999980000"
"2,090",420032023003000,14,38,"1,329,836.735260000000000","401,612.436898000010000"
"2,091",420033103001063,22,54,"1,364,202.845900000100000","391,799.689703000010000"
"2,092",420031306002013,12,31,"1,377,599.827379999900000","416,676.216319000000000"
"2,093",420035616002004,0,0,"1,353,636.745060000100000","402,741.141428000000000"
"2,094",420031011002005,0,0,"1,355,333.786290000000000","427,264.397241000030000"
"2,095",420035604002006,4,6,"1,371,865.701470000000000","411,570.321135999980000"
"2,096",420030404001003,18,39,"1,356,924.217190000000000","413,004.988501999990000"
"2,097",420031609002054,0,0,"1,353,029.176070000000000","404,194.705169999970000"
"2,098",420035616002005,0,0,"1,353,466.743349999900000","402,896.865822999970000"
"2,099",420031102003006,0,0,"1,362,726.220100000000000","424,436.639374000020000"
"2,100",420035616001000,0,0,"1,353,096.137760000100000","403,214.153705000000000"
"2,101",420035626003039,0,0,"1,334,382.556290000000000","413,166.899432000010000"
"2,102",420035626003028,0,0,"1,332,429.716839999900000","414,958.561950000000000"
"2,103",420032609001004,0,0,"1,340,771.886810000100000","426,375.561132000000000"
"2,104",420032609001012,0,0,"1,340,602.348340000000000","426,366.538585999980000"
"2,105",420031014001044,0,0,"1,364,186.714979999900000","426,930.906645999990000"
"2,106",420030203001117,0,0,"1,343,679.294300000000000","413,719.059565000000000"
"2,107",420031401004000,0,0,"1,359,913.280349999900000","413,423.795288999970000"
"2,108",420032814001004,25,46,"1,327,255.767049999900000","415,250.841965000030000"
"2,109",420030509001017,28,67,"1,348,160.531590000000000","414,286.656643999970000"
"2,110",420032708003026,0,0,"1,333,429.232840000000000","428,014.661367000020000"
"2,111",420032904003001,28,82,"1,344,578.879419999900000","391,445.264994000030000"
"2,112",420035626003033,0,0,"1,333,110.984630000100000","414,241.329840000020000"
"2,113",420032814001009,11,19,"1,327,591.915790000000000","414,881.757946000030000"
"2,114",420030509001020,1,2,"1,347,327.453320000100000","414,292.537699999990000"
"2,115",420030509001012,0,0,"1,348,452.650210000100000","414,819.784579000030000"
"2,116",420032708003005,0,0,"1,335,017.892840000100000","429,747.320089999990000"
"2,117",420032902002002,34,70,"1,346,978.595539999900000","394,006.640885000000000"
"2,118",420031914002043,0,0,"1,336,549.404189999900000","405,636.142862999990000"
"2,119",420039806001005,0,0,"1,332,271.838860000000000","418,418.425866000010000"
"2,120",420030203001139,7,10,"1,349,615.112080000100000","416,119.267071000010000"
"2,121",420031014001007,0,0,"1,362,321.066490000100000","428,750.439401999990000"
"2,122",420031014001006,0,0,"1,360,604.384400000100000","428,868.122231999990000"
"2,123",420031706002002,0,0,"1,347,330.267090000000000","405,644.772561000020000"
"2,124",420031803001026,7,12,"1,342,913.189569999900000","405,777.915014000030000"
"2,125",420032620001036,0,0,"1,343,004.881259999900000","417,966.479226999970000"
"2,126",420033206001010,3,4,"1,339,981.728360000100000","395,849.077903000000000"
"2,127",420031516002020,0,0,"1,355,936.218219999900000","406,099.539835000000000"
"2,128",420035625002008,0,0,"1,328,263.240359999900000","418,725.123022000010000"
"2,129",420032902001007,33,76,"1,347,341.059850000100000","397,429.199545999990000"
"2,130",420035629001048,0,0,"1,357,704.211679999900000","396,839.002077999990000"
